name,slots,empty_slots,free_bikes,latitude,longitude
149_CALLE ARROYO,20,11,9,37.397829929383,-5.97567172039552
257_TORRES ALBARRACIN,20,16,4,37.38376948792722,-5.908921914235877
243_GLORIETA DEL PRIMERO DE MAYO,15,6,9,37.380439481169994,-5.953481197462845
109_AVENIDA SAN FRANCISCO JAVIER,15,1,14,37.37988413609134,-5.974382770011586
073_PLAZA SAN AGUSTIN,15,10,4,37.38951386231434,-5.984362789545622
096_CALLE BETIS,19,17,2,37.3835407311529,-5.999910722822249
256_MIGUEL MONTORO,29,27,1,37.386100496778624,-5.910090919676698
082_CALLE LUIS MONTOTO,17,12,5,37.387098477016366,-5.974843147214583
226_AVENIDA DOCTOR EMILIO LEMOS,15,10,5,37.402862871745285,-5.921753676327738
103_AVENIDA EDUARDO DATO,20,20,0,37.384432463478554,-5.982738173371375
016_CALLE DE MANUEL VILLALOBOS,20,17,3,37.40705079945115,-5.982430505819379
209_AVENIDA ALEMANIA,15,3,11,37.34531731164308,-5.982656150368391
026_AVENIDA DE MIRAFLORES,17,16,1,37.40249453741322,-5.977678166024575
221_AVENIDA ALCALDE LUIS URUÑUELA,15,11,3,37.40560856297865,-5.930524002164018
128_VIRGEN DE LORETO,18,6,12,37.37645342505249,-6.000632231559362
077_PLAZA CHAPINA,20,13,7,37.389629475123165,-6.007581263540937
087_PLAZA NUEVA,40,5,35,37.38896647697466,-5.995294220038549
036_CALLE SAN VICENTE,20,20,0,37.40050052188098,-5.998403237581298
220_AVENIDA ALCALDE LUIS URUÑUELA,30,18,11,37.40518956185269,-5.935780020616404
154_AVENIDA KANSAS CITY,20,12,8,37.394836510246314,-5.96842612917054
024_CALLE LEÓN XIII,15,10,5,37.404035541034794,-5.984592191160378
195_CALLE CORRAL DEL AGUA,20,5,15,37.42171561628419,-5.971648155914519
169_AVENIDA RAMÓN Y CAJAL,20,18,2,37.37650143552164,-5.972667133462907
211_AVENIDA DE ALEMANIA,15,8,6,37.34620231070945,-5.976200128537064
125_AVENIDA SAN FRANCISCO JAVIER,15,1,14,37.377406438312754,-5.974900141818838
148_CALLE THARSIS,20,18,2,37.39876767567268,-5.973182395926595
122_CALLE ENRAMADILLA,20,0,20,37.37848444133301,-5.978389154681133
192_AVENIDA DE ALVAR NUÑEZ,19,19,0,37.37833442855656,-6.011556270990402
101_PRADO DE SAN SEBASTIAN,40,18,22,37.38111568185353,-5.986949751279455
246_PUERTO DE LOS AZORES,15,7,6,37.376139062455664,-5.955017317014327
173_RONDA TAMARGUILLO,20,11,7,37.370048411458974,-5.968064113583803
171_CALLE ALFONSO LASO DE LA VEGA,19,4,13,37.36614639337372,-5.974870135199807
059_AVENIDA DE LA PALMERA,18,10,7,37.37123840842449,-5.989210188461531
194_CALLE PARQUE DE DOÑANA,20,10,10,37.418732603824466,-5.97319415962488
186_CALLE ORFEBRE DOMINGUEZ VÁZQUEZ,20,13,6,37.40860456343952,-5.973161153696026
100_PASEO CATALINA RIBERA,20,1,19,37.381516148333745,-5.98899864813969
132_CALLE PAEZ DE RIVERA,20,0,20,37.36361937962884,-5.984785168525709
202_AVENIDA MUJER TRABAJADORA,20,19,0,37.41146657719195,-5.966763132907271
143_CALLE RAMON DE CARRANZA,18,15,1,37.37172440518047,-6.00331223823691
046_PLAZA DEL PELICANO,16,16,0,37.397593515590735,-5.983873184934495
255_PERO MINGO,30,29,0,37.385659308608595,-5.913451790889467
119_AVENIDA DE CHILE,20,14,6,37.37740443203299,-5.991965201690994
033_CALLE LEÓN XIII,15,7,8,37.401460531089214,-5.983690186516563
200_CAMINO DE LOS TOROS,20,2,18,37.41891360818369,-5.963217124751443
249_CALLE NAVARRA,15,4,11,37.42475843174024,-5.984823673360926
188_AVENIDA HYTASA,20,18,2,37.37256042361221,-5.963362098447178
021_CALLE MANUEL VILLALOBOS,20,5,15,37.405473547892335,-5.981527181236149
038_CALLE DE INCA GARCILASO,40,19,19,37.3920814836453,-6.011051277130786
012_PLAZA DUQUESA DE ALBA,30,27,3,37.403869536605576,-5.994904227249628
241_PLAZA NUEVA,20,1,19,37.38881544328257,-5.995863788052556
208_AVENIDA DE GRECIA,15,1,13,37.35065632807553,-5.984190158922543
168_AVENIDA RAMÓN Y CAJAL,18,17,1,37.37505743166244,-5.967492114476132
206_AVENIDA KANSAS CITY,15,11,4,37.402963548427635,-5.958211097806437
066_CALLE ARROYO,20,3,17,37.39362550048881,-5.981869175620968
061_PLAZA DEL MUSEO,20,7,13,37.392813490850365,-5.999344236464369
041_PLAZA CALDERÓN DE LA BARCA,15,15,0,37.39958252091155,-5.991029211181825
