Andy Murray,12410
Novak Djokovic,11780
Milos Raonic,5450
Stan Wawrinka,5315
Kei Nishikori,4905
Marin Cilic,3650
Gael Monfils,3625
Dominic Thiem,3415
Rafael Nadal,3300
Tomas Berdych,3060
David Goffin,2750
Jo-Wilfried Tsonga,2550
Nick Kyrgios,2460
Roberto Bautista Agut,2350
Lucas Pouille,2156
Roger Federer,2130
Grigor Dimitrov,2035
Richard Gasquet,1885
John Isner,1850
Ivo Karlovic,1795
David Ferrer,1785
Pablo Cuevas,1780
Jack Sock,1710
Alexander Zverev,1655
Gilles Simon,1585
