Roger Federer,10550
Rafael Nadal,9205
Novak Djokovic,8310
Andy Murray,7030
Juan Martin del Potro,6785
Nikolay Davydenko,4930
Andy Roddick,4410
Robin Soderling,3410
Fernando Verdasco,3300
Jo-Wilfried Tsonga,2875
Fernando Gonzalez,2870
Radek Stepanek,2625
Gael Monfils,2610
Marin Cilic,2430
Gilles Simon,2275
Tommy Robredo,2175
David Ferrer,1870
Tommy Haas,1855
Mikhail Youzhny,1690
Tomas Berdych,1655
Stan Wawrinka,1635
Lleyton Hewitt,1600
Juan Carlos Ferrero,1555
Ivan Ljubicic,1405
Sam Querrey,1320
